,State,Year,Total_Count,Count_1,Count_2,Count_3,Count_4
317,TN,2016,1688,0.0,1165.0,286.0,237.0
318,TN,2017,11017,7.0,7093.0,3548.0,369.0
319,TN,2018,24474,9.0,15394.0,8649.0,422.0
320,TN,2019,21135,4.0,14899.0,5792.0,440.0
321,TN,2020,28463,1448.0,21927.0,4676.0,412.0
322,TN,2021,39231,4.0,34809.0,3729.0,689.0
323,TN,2022,38910,863.0,35353.0,1830.0,864.0
324,TN,2023,2470,0.0,2414.0,0.0,56.0
325,TX,2016,49769,23.0,37014.0,12285.0,447.0
326,TX,2017,85588,38.0,61398.0,23256.0,896.0
327,TX,2018,84111,40.0,59113.0,23868.0,1090.0
328,TX,2019,78718,19.0,57577.0,20103.0,1019.0
329,TX,2020,73488,960.0,53846.0,17167.0,1515.0
330,TX,2021,101830,14.0,86114.0,15191.0,511.0
331,TX,2022,95509,3139.0,82241.0,8573.0,1556.0
332,TX,2023,13824,0.0,13649.0,0.0,175.0
333,UT,2016,968,0.0,725.0,136.0,107.0
334,UT,2017,4652,0.0,2093.0,2319.0,240.0
335,UT,2018,11187,3.0,6659.0,4189.0,336.0
336,UT,2019,24761,0.0,20591.0,3660.0,510.0
337,UT,2020,16192,394.0,13505.0,2100.0,193.0
338,UT,2021,19621,2.0,17783.0,1719.0,117.0
339,UT,2022,17439,233.0,16201.0,877.0,128.0
340,UT,2023,2259,0.0,2244.0,0.0,15.0
341,VA,2016,6493,8.0,3364.0,2543.0,578.0
342,VA,2017,20743,6.0,10750.0,8792.0,1195.0
343,VA,2018,27043,4.0,13628.0,11915.0,1496.0
344,VA,2019,25714,10.0,14838.0,9509.0,1357.0
345,VA,2020,44803,1720.0,32480.0,8383.0,2220.0
346,VA,2021,67768,2.0,57063.0,6432.0,4271.0
347,VA,2022,99311,1365.0,88264.0,3750.0,5932.0
348,VA,2023,11426,0.0,10273.0,0.0,1153.0
349,VT,2016,17,0.0,2.0,1.0,14.0
350,VT,2017,155,1.0,116.0,23.0,15.0
351,VT,2018,188,0.0,144.0,35.0,9.0
352,VT,2019,225,0.0,152.0,52.0,21.0
353,VT,2020,186,0.0,117.0,56.0,13.0
354,VT,2021,117,0.0,66.0,36.0,15.0
355,VT,2022,38,2.0,19.0,14.0,3.0
356,WA,2016,9315,6.0,6307.0,2786.0,216.0
357,WA,2017,18497,10.0,11868.0,5963.0,656.0
358,WA,2018,18984,4.0,11451.0,6746.0,783.0
359,WA,2019,14718,10.0,8025.0,5654.0,1029.0
360,WA,2020,13211,505.0,8463.0,3772.0,471.0
361,WA,2021,16093,3.0,12105.0,3641.0,344.0
362,WA,2022,15416,327.0,13197.0,1364.0,528.0
363,WA,2023,1987,0.0,1923.0,0.0,64.0
364,WI,2016,1562,0.0,1076.0,135.0,351.0
365,WI,2017,4111,0.0,1890.0,1451.0,770.0
366,WI,2018,5039,0.0,1923.0,2426.0,690.0
367,WI,2019,6889,1.0,4059.0,2177.0,652.0
368,WI,2020,3933,32.0,1878.0,1749.0,274.0
369,WI,2021,3030,0.0,1529.0,1326.0,175.0
370,WI,2022,8078,57.0,7191.0,342.0,488.0
371,WI,2023,2046,0.0,1984.0,0.0,62.0
372,WV,2016,429,0.0,291.0,68.0,70.0
373,WV,2017,700,1.0,385.0,131.0,183.0
374,WV,2018,671,0.0,380.0,192.0,99.0
375,WV,2019,473,0.0,296.0,76.0,101.0
376,WV,2020,1171,1.0,1036.0,47.0,87.0
377,WV,2021,3802,0.0,3645.0,9.0,148.0
378,WV,2022,5344,0.0,5218.0,1.0,125.0
379,WV,2023,1203,0.0,1193.0,0.0,10.0
380,WY,2016,69,0.0,27.0,9.0,33.0
381,WY,2017,112,0.0,37.0,17.0,58.0
382,WY,2018,198,0.0,39.0,107.0,52.0
383,WY,2019,112,0.0,26.0,43.0,43.0
384,WY,2020,29,0.0,8.0,5.0,16.0
385,WY,2021,744,0.0,654.0,0.0,90.0
386,WY,2022,2075,0.0,1863.0,1.0,211.0
387,WY,2023,418,0.0,374.0,0.0,44.0
