,State,City,Year,Count,Mean_Severity,High Severity Count
218,AL,Brent,2018,5,2.4,0.0
219,AL,Brent,2019,1,2.0,0.0
220,AL,Brent,2020,2,2.0,0.0
221,AL,Brent,2021,6,2.6666666666666665,0.0
222,AL,Brent,2022,6,3.0,0.0
223,AL,Brewton,2016,1,2.0,0.0
224,AL,Brewton,2017,2,2.5,1.0
225,AL,Brewton,2018,23,2.5652173913043477,13.0
226,AL,Brewton,2019,24,2.4166666666666665,10.0
227,AL,Brewton,2020,29,2.3793103448275863,9.0
228,AL,Brewton,2021,26,2.6153846153846154,2.0
229,AL,Brewton,2022,14,2.142857142857143,2.0
230,AL,Brewton,2023,1,2.0,0.0
231,AL,Brierfield,2017,1,2.0,0.0
232,AL,Brierfield,2019,2,2.0,0.0
233,AL,Brierfield,2020,2,2.0,0.0
234,AL,Brierfield,2021,1,2.0,0.0
235,AL,Brierfield,2022,4,2.0,0.0
236,AL,Brilliant,2018,1,2.0,0.0
237,AL,Brilliant,2021,2,2.5,1.0
238,AL,Brilliant,2022,4,2.0,0.0
239,AL,Brilliant,2023,1,2.0,0.0
240,AL,Brookwood,2017,2,2.0,0.0
241,AL,Brookwood,2018,30,2.9,27.0
242,AL,Brookwood,2019,4,2.0,0.0
243,AL,Brookwood,2020,2,2.0,0.0
244,AL,Brookwood,2021,23,2.0,0.0
245,AL,Brookwood,2022,14,1.9285714285714286,0.0
246,AL,Brownsboro,2018,11,2.0,0.0
247,AL,Brownsboro,2019,61,1.9836065573770492,0.0
248,AL,Brownsboro,2020,35,2.0,0.0
249,AL,Brownsboro,2021,45,2.022222222222222,1.0
250,AL,Brownsboro,2022,31,2.096774193548387,0.0
251,AL,Brownsboro,2023,1,2.0,0.0
252,AL,Brundidge,2017,2,3.5,1.0
253,AL,Brundidge,2018,2,2.0,0.0
254,AL,Brundidge,2019,31,2.032258064516129,1.0
255,AL,Brundidge,2020,71,2.028169014084507,2.0
256,AL,Brundidge,2021,66,2.015151515151515,1.0
257,AL,Brundidge,2022,50,2.1,1.0
258,AL,Bryant,2019,5,2.0,0.0
259,AL,Bryant,2020,2,2.5,1.0
260,AL,Buhl,2018,5,2.4,2.0
261,AL,Buhl,2019,3,2.0,0.0
262,AL,Buhl,2020,3,2.0,0.0
263,AL,Buhl,2021,11,2.3636363636363638,0.0
264,AL,Buhl,2022,8,2.25,0.0
265,AL,Calera,2016,3,4.0,0.0
266,AL,Calera,2017,18,2.7777777777777777,14.0
267,AL,Calera,2018,58,2.6379310344827585,37.0
268,AL,Calera,2019,77,2.7142857142857144,47.0
269,AL,Calera,2020,85,2.5176470588235293,34.0
